Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,2376
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00023508262529503554
power__switching__total,0.00011833349708467722
power__leakage__total,0.0000016586021729381173
power__total,0.0003550747351255268
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2508028300473876
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2509052481243059
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.21488261778162113
timing__setup__ws__corner:nom_fast_1p32V_m40C,2.7720400093303144
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.214883
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,6.887330
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.251155020556335
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2512422008218093
timing__hold__ws__corner:nom_slow_1p08V_125C,0.8610162271312092
timing__setup__ws__corner:nom_slow_1p08V_125C,-1.45200833244608
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-1.45200833244608
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-1.45200833244608
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.861016
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,1
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,5.662728
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2509386658382922
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2510328127534431
timing__hold__ws__corner:nom_typ_1p20V_25C,0.4462437212722845
timing__setup__ws__corner:nom_typ_1p20V_25C,1.1818932833614535
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.446244
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,6.442381
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2508028300473876
clock__skew__worst_setup,0.2509052481243059
timing__hold__ws,0.21488261778162113
timing__setup__ws,-1.45200833244608
timing__hold__tns,0.0
timing__setup__tns,-1.45200833244608
timing__hold__wns,0
timing__setup__wns,-1.45200833244608
timing__hold_vio__count,0
timing__hold_r2r__ws,0.214883
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1
timing__setup_r2r__ws,5.662728
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,172
design__instance__area__stdcell,2520.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.0870792
design__instance__utilization__stdcell,0.0870792
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,14
design__instance__area__class:buffer,101.606
design__instance__count__class:inverter,2
design__instance__area__class:inverter,10.8864
design__instance__count__class:sequential_cell,12
design__instance__area__class:sequential_cell,731.203
design__instance__count__class:multi_input_combinational_cell,103
design__instance__area__class:multi_input_combinational_cell,1059.61
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,37
design__instance__area__class:timing_repair_buffer,538.877
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,3638.97
design__violations,0
design__instance__count__class:clock_buffer,4
design__instance__area__class:clock_buffer,78.0192
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,11
global_route__vias,1149
global_route__wirelength,5770
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,196
route__net__special,2
route__drc_errors__iter:0,38
route__wirelength__iter:0,3919
route__drc_errors__iter:1,24
route__wirelength__iter:1,3876
route__drc_errors__iter:2,4
route__wirelength__iter:2,3890
route__drc_errors__iter:3,0
route__wirelength__iter:3,3892
route__drc_errors,0
route__wirelength,3892
route__vias,1143
route__vias__singlecut,1143
route__vias__multicut,0
design__disconnected_pin__count,3
design__critical_disconnected_pin__count,0
route__wirelength__max,104.21
design__instance__count__class:fill_cell,2204
design__instance__area__class:fill_cell,26421.3
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,4
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,4
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,4
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,4
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19938
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19995
