Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,46
design__inferred_latch__count,0
design__instance__count,9999
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0018524409970268607
power__switching__total,0.00046221690718084574
power__leakage__total,0.00000453231405117549
power__total,0.0023191901855170727
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.31101938571580356
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.31101938571580356
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.0923873781405296
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.236686565934649
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.092387
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.131813
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.3917836443937788
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.3917836443937788
timing__hold__ws__corner:nom_slow_1p08V_125C,0.587892862142826
timing__setup__ws__corner:nom_slow_1p08V_125C,10.547822469560181
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.587893
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,15.939904
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.33996065258467145
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.33996065258467145
timing__hold__ws__corner:nom_typ_1p20V_25C,0.27272135321979674
timing__setup__ws__corner:nom_typ_1p20V_25C,10.982929543357486
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.272721
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,17.337246
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.31101938571580356
clock__skew__worst_setup,0.31101938571580356
timing__hold__ws,0.0923873781405296
timing__setup__ws,10.547822469560181
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.092387
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,15.939904
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,3884
design__instance__area__stdcell,66690.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.526424
design__instance__utilization__stdcell,0.526424
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,2
design__instance__area__class:buffer,18.144
design__instance__count__class:inverter,149
design__instance__area__class:inverter,843.696
design__instance__count__class:sequential_cell,469
design__instance__area__class:sequential_cell,23095.5
design__instance__count__class:multi_input_combinational_cell,2069
design__instance__area__class:multi_input_combinational_cell,20852.9
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1076
design__instance__area__class:timing_repair_buffer,19370.5
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,110771
design__violations,0
design__instance__count__class:clock_buffer,99
design__instance__area__class:clock_buffer,2335.13
design__instance__count__class:clock_inverter,20
design__instance__area__class:clock_inverter,174.182
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,677
global_route__vias,28773
global_route__wirelength,186114
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3867
route__net__special,2
route__drc_errors__iter:0,1149
route__wirelength__iter:0,126599
route__drc_errors__iter:1,577
route__wirelength__iter:1,125803
route__drc_errors__iter:2,414
route__wirelength__iter:2,125633
route__drc_errors__iter:3,0
route__wirelength__iter:3,125483
route__drc_errors,0
route__wirelength,125483
route__vias,25904
route__vias__singlecut,25904
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,713.24
design__instance__count__class:fill_cell,6115
design__instance__area__class:fill_cell,59995
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,36
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,36
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,36
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,36
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.1998
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19992
