Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,11495
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,2
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.008880212903022766
power__switching__total,0.007274285890161991
power__leakage__total,0.000003091895678153378
power__total,0.016157589852809906
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,1.7711022039148907
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,2.2711022594260437
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11569517893409483
timing__setup__ws__corner:nom_fast_1p32V_m40C,4.376980679565312
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.115695
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,4.376981
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,2
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,1.787944287674781
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,2.287944343185934
timing__hold__ws__corner:nom_slow_1p08V_125C,0.41877608122125426
timing__setup__ws__corner:nom_slow_1p08V_125C,-3.1829002556732675
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-151.72645791438603
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-3.1829002556732675
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.418776
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,61
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-3.182900
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,61
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,2
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,1.776726149827488
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,2.276726205338641
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2654560257855966
timing__setup__ws__corner:nom_typ_1p20V_25C,1.5670931662551255
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.265456
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,1.567093
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,2
design__max_cap_violation__count,0
clock__skew__worst_hold,1.787944287674781
clock__skew__worst_setup,2.2711022594260437
timing__hold__ws,0.11569517893409483
timing__setup__ws,-3.1829002556732675
timing__hold__tns,0.0
timing__setup__tns,-151.72645791438603
timing__hold__wns,0
timing__setup__wns,-3.1829002556732675
timing__hold_vio__count,0
timing__hold_r2r__ws,0.115695
timing__hold_r2r_vio__count,0
timing__setup_vio__count,61
timing__setup_r2r__ws,-3.182900
timing__setup_r2r_vio__count,61
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,6294
design__instance__area__stdcell,91324.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.720876
design__instance__utilization__stdcell,0.720876
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,13
design__instance__area__class:buffer,94.3488
design__instance__count__class:inverter,256
design__instance__area__class:inverter,1525.91
design__instance__count__class:sequential_cell,473
design__instance__area__class:sequential_cell,23458.4
design__instance__count__class:multi_input_combinational_cell,4349
design__instance__area__class:multi_input_combinational_cell,45494.3
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1037
design__instance__area__class:timing_repair_buffer,17382
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,368.64
design__instance__displacement__mean,0.058
design__instance__displacement__max,19.5
route__wirelength__estimated,144646
design__violations,0
design__instance__count__class:clock_buffer,135
design__instance__area__class:clock_buffer,3118.95
design__instance__count__class:clock_inverter,31
design__instance__area__class:clock_inverter,250.387
design__instance__count__setup_buffer,17
design__instance__count__hold_buffer,0
global_route__vias,41147
global_route__wirelength,238782
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,6268
route__net__special,2
route__drc_errors__iter:0,1675
route__wirelength__iter:0,159431
route__drc_errors__iter:1,724
route__wirelength__iter:1,158159
route__drc_errors__iter:2,672
route__wirelength__iter:2,157874
route__drc_errors__iter:3,27
route__wirelength__iter:3,157756
route__drc_errors__iter:4,0
route__wirelength__iter:4,157744
route__drc_errors,0
route__wirelength,157744
route__vias,38304
route__vias__singlecut,38304
route__vias__multicut,0
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,935.45
design__instance__count__class:fill_cell,5201
design__instance__area__class:fill_cell,35360.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,49
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,49
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,49
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,49
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19532
