Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,175
design__inferred_latch__count,0
design__instance__count,2192
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.006825155578553677
power__switching__total,0.001611365471035242
power__leakage__total,8.752820690460794E-7
power__total,0.008437396958470345
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.25578695441279803
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.26026231906278524
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.05312594958765761
timing__setup__ws__corner:nom_fast_1p32V_m40C,1.0236257686768107
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.053126
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,1.191644
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2603385636311577
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2620952695727051
timing__hold__ws__corner:nom_slow_1p08V_125C,0.46487010001666446
timing__setup__ws__corner:nom_slow_1p08V_125C,-0.29766989715670766
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-7.004127254210771
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-0.29766989715670766
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.464870
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,52
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-0.297670
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,51
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.25741690063692385
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.26023142710625136
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2007081224695935
timing__setup__ws__corner:nom_typ_1p20V_25C,0.6403915357038298
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.200708
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,0.640392
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.25578695441279803
clock__skew__worst_setup,0.26023142710625136
timing__hold__ws,0.05312594958765761
timing__setup__ws,-0.29766989715670766
timing__hold__tns,0.0
timing__setup__tns,-7.004127254210771
timing__hold__wns,0
timing__setup__wns,-0.29766989715670766
timing__hold_vio__count,0
timing__hold_r2r__ws,0.053126
timing__hold_r2r_vio__count,0
timing__setup_vio__count,52
timing__setup_r2r__ws,-0.297670
timing__setup_r2r_vio__count,51
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,974
design__instance__area__stdcell,17701.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.611623
design__instance__utilization__stdcell,0.611623
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,36
design__instance__area__class:inverter,210.47
design__instance__count__class:sequential_cell,178
design__instance__area__class:sequential_cell,8747.22
design__instance__count__class:multi_input_combinational_cell,509
design__instance__area__class:multi_input_combinational_cell,4735.58
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,183
design__instance__area__class:timing_repair_buffer,2739.74
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,17358.5
design__violations,0
design__instance__count__class:clock_buffer,50
design__instance__area__class:clock_buffer,1163.03
design__instance__count__class:clock_inverter,14
design__instance__area__class:clock_inverter,76.2048
design__instance__count__setup_buffer,15
design__instance__count__hold_buffer,0
global_route__vias,5306
global_route__wirelength,28431
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,978
route__net__special,2
route__drc_errors__iter:0,133
route__wirelength__iter:0,17722
route__drc_errors__iter:1,23
route__wirelength__iter:1,17609
route__drc_errors__iter:2,14
route__wirelength__iter:2,17570
route__drc_errors__iter:3,1
route__wirelength__iter:3,17582
route__drc_errors__iter:4,0
route__wirelength__iter:4,17583
route__drc_errors,0
route__wirelength,17583
route__vias,4535
route__vias__singlecut,4535
route__vias__multicut,0
design__disconnected_pin__count,2
design__critical_disconnected_pin__count,0
route__wirelength__max,332.78
design__instance__count__class:fill_cell,1218
design__instance__area__class:fill_cell,11240.2
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,17
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,17
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,17
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,17
timing__unannotated_net_filtered__count,0
