Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,34
design__inferred_latch__count,0
design__instance__count,5257
design__instance__area,60109.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0007938168710097671
power__switching__total,0.00013406954531092197
power__leakage__total,0.0000014209060736902757
power__total,0.0009293073089793324
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2601968159024798
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2613493384569387
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12388151965999641
timing__setup__ws__corner:nom_fast_1p32V_m40C,5.5614998624988745
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.123882
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,16.362392
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.27464928331215954
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2755573902608347
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6421132696191124
timing__setup__ws__corner:nom_slow_1p08V_125C,5.293904131572979
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.642113
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,11.800921
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26575817299029364
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2667838803161782
timing__hold__ws__corner:nom_typ_1p20V_25C,0.30922648650262974
timing__setup__ws__corner:nom_typ_1p20V_25C,5.46415461676821
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.309226
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,14.677775
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2601968159024798
clock__skew__worst_setup,0.2613493384569387
timing__hold__ws,0.12388151965999641
timing__setup__ws,5.293904131572979
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.123882
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,11.800921
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 313.74
design__core__bbox,2.88 3.78 199.2 309.96
design__io,45
design__die__area,63400.6
design__core__area,60109.3
design__instance__count__stdcell,3094
design__instance__area__stdcell,45699.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.76027
design__instance__utilization__stdcell,0.76027
design__rows,81
design__rows:CoreSite,81
design__sites,33129
design__sites:CoreSite,33129
design__instance__count__class:buffer,16
design__instance__area__class:buffer,217.728
design__instance__count__class:inverter,139
design__instance__area__class:inverter,852.768
design__instance__count__class:sequential_cell,232
design__instance__area__class:sequential_cell,11606.7
design__instance__count__class:multi_input_combinational_cell,2019
design__instance__area__class:multi_input_combinational_cell,20500.9
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,644
design__instance__area__class:timing_repair_buffer,11483.3
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,80903.8
design__violations,0
design__instance__count__class:clock_buffer,44
design__instance__area__class:clock_buffer,1037.84
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,414
global_route__vias,21626
global_route__wirelength,132936
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,3110
route__net__special,2
route__drc_errors__iter:0,1175
route__wirelength__iter:0,88837
route__drc_errors__iter:1,490
route__wirelength__iter:1,88175
route__drc_errors__iter:2,432
route__wirelength__iter:2,88070
route__drc_errors__iter:3,41
route__wirelength__iter:3,87977
route__drc_errors__iter:4,0
route__wirelength__iter:4,87948
route__drc_errors,0
route__wirelength,87948
route__vias,20546
route__vias__singlecut,20546
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,493.65
design__instance__count__class:fill_cell,2163
design__instance__area__class:fill_cell,14410
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,12
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,12
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,12
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,12
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19966
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19993
