Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,2771
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.00041620543925091624
power__switching__total,0.00030589645029976964
power__leakage__total,6.959755864954786E-7
power__total,0.0007227978785522282
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2603674016750379
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.5666497431665494
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.16593452082051258
timing__setup__ws__corner:nom_fast_1p32V_m40C,12.450862027140735
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.165935
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,18.975452
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,0.48331062742146585
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.9833106829326187
timing__hold__ws__corner:nom_slow_1p08V_125C,0.7372289098975164
timing__setup__ws__corner:nom_slow_1p08V_125C,7.895407218159607
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.737229
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,17.886129
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.2611758661044349
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.7190114263046703
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3775562469531316
timing__setup__ws__corner:nom_typ_1p20V_25C,10.750008298917344
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.377556
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,18.578846
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.48331062742146585
clock__skew__worst_setup,0.5666497431665494
timing__hold__ws,0.16593452082051258
timing__setup__ws,7.895407218159607
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.165935
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,17.886129
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1474
design__instance__area__stdcell,20334
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.702589
design__instance__utilization__stdcell,0.702589
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,2
design__instance__area__class:buffer,14.5152
design__instance__count__class:inverter,38
design__instance__area__class:inverter,217.728
design__instance__count__class:sequential_cell,101
design__instance__area__class:sequential_cell,5036.77
design__instance__count__class:multi_input_combinational_cell,1170
design__instance__area__class:multi_input_combinational_cell,12191
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,147
design__instance__area__class:timing_repair_buffer,2610.92
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,28111.5
design__violations,0
design__instance__count__class:clock_buffer,16
design__instance__area__class:clock_buffer,263.088
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,74
global_route__vias,9289
global_route__wirelength,48478
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1486
route__net__special,2
route__drc_errors__iter:0,302
route__wirelength__iter:0,31165
route__drc_errors__iter:1,103
route__wirelength__iter:1,30930
route__drc_errors__iter:2,115
route__wirelength__iter:2,30807
route__drc_errors__iter:3,1
route__wirelength__iter:3,30810
route__drc_errors__iter:4,0
route__wirelength__iter:4,30811
route__drc_errors,0
route__wirelength,30811
route__vias,8698
route__vias__singlecut,8698
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,243.475
design__instance__count__class:fill_cell,1297
design__instance__area__class:fill_cell,8607.51
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,20
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,20
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,20
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,20
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.199
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19988
