Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,13846
design__instance__area,193261
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0033971297089010477
power__switching__total,0.0014025095151737332
power__leakage__total,0.000007391050530713983
power__total,0.004807030316442251
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.3129253056360807
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.30920772373298294
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.10894724319957846
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.460951956318496
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.108947
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,Infinity
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.398360439244209
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.39426044100946367
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6502978894992771
timing__setup__ws__corner:nom_slow_1p08V_125C,12.608829892622557
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.650298
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,13.388077
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.34379644548765936
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.33998801958300245
timing__hold__ws__corner:nom_typ_1p20V_25C,0.31328057701400847
timing__setup__ws__corner:nom_typ_1p20V_25C,13.797558153206118
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.313281
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,Infinity
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.3129253056360807
clock__skew__worst_setup,0.30920772373298294
timing__hold__ws,0.10894724319957846
timing__setup__ws,12.608829892622557
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108947
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.388077
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 636.96 313.74
design__core__bbox,2.88 3.78 634.08 309.96
design__io,45
design__die__area,199840
design__core__area,193261
design__instance__count__stdcell,4940
design__instance__area__stdcell,93984.1
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.486307
design__instance__utilization__stdcell,0.486307
design__rows,81
design__rows:CoreSite,81
design__sites,106515
design__sites:CoreSite,106515
design__instance__count__class:buffer,3
design__instance__area__class:buffer,41.7312
design__instance__count__class:inverter,67
design__instance__area__class:inverter,411.869
design__instance__count__class:sequential_cell,754
design__instance__area__class:sequential_cell,37041
design__instance__count__class:multi_input_combinational_cell,2634
design__instance__area__class:multi_input_combinational_cell,29616.5
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1329
design__instance__area__class:timing_repair_buffer,23616.2
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,197713
design__violations,0
design__instance__count__class:clock_buffer,131
design__instance__area__class:clock_buffer,3089.92
design__instance__count__class:clock_inverter,21
design__instance__area__class:clock_inverter,161.482
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,921
global_route__vias,38819
global_route__wirelength,309960
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
design__instance__area__class:antenna_cell,5.4432
route__net,4924
route__net__special,2
route__drc_errors__iter:0,2436
route__wirelength__iter:0,226010
route__drc_errors__iter:1,988
route__wirelength__iter:1,224710
route__drc_errors__iter:2,783
route__wirelength__iter:2,224377
route__drc_errors__iter:3,81
route__wirelength__iter:3,224154
route__drc_errors__iter:4,18
route__wirelength__iter:4,224118
route__drc_errors__iter:5,2
route__wirelength__iter:5,224129
route__drc_errors__iter:6,0
route__wirelength__iter:6,224123
route__drc_errors,0
route__wirelength,224123
route__vias,34971
route__vias__singlecut,34971
route__vias__multicut,0
design__disconnected_pin__count,7
design__critical_disconnected_pin__count,0
route__wirelength__max,1059.64
design__instance__count__class:fill_cell,8906
design__instance__area__class:fill_cell,99276.7
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,41
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,41
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,41
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
