Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,102
design__inferred_latch__count,0
design__instance__count,1892
design__instance__area,28941.5
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0006425760220736265
power__switching__total,0.00011750165867852047
power__leakage__total,7.085183142407914E-7
power__total,0.0007607861771248281
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.26324776437158764
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2635680637232507
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.12470119734225923
timing__setup__ws__corner:nom_fast_1p32V_m40C,14.31066061713525
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.124701
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,17.174065
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2656148987049137
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.2661511364409735
timing__hold__ws__corner:nom_slow_1p08V_125C,0.645495508648138
timing__setup__ws__corner:nom_slow_1p08V_125C,12.293046928351423
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.645496
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,13.492447
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26374683739084703
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2642167670548858
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3111986312281987
timing__setup__ws__corner:nom_typ_1p20V_25C,13.567462204398948
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.311199
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,15.831774
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.26324776437158764
clock__skew__worst_setup,0.2635680637232507
timing__hold__ws,0.12470119734225923
timing__setup__ws,12.293046928351423
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.124701
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,13.492447
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 202.08 154.98
design__core__bbox,2.88 3.78 199.2 151.2
design__io,45
design__die__area,31318.4
design__core__area,28941.5
design__instance__count__stdcell,1227
design__instance__area__stdcell,22700
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.78434
design__instance__utilization__stdcell,0.78434
design__rows,39
design__rows:CoreSite,39
design__sites,15951
design__sites:CoreSite,15951
design__instance__count__class:buffer,5
design__instance__area__class:buffer,36.288
design__instance__count__class:inverter,50
design__instance__area__class:inverter,295.747
design__instance__count__class:sequential_cell,172
design__instance__area__class:sequential_cell,8534.94
design__instance__count__class:multi_input_combinational_cell,580
design__instance__area__class:multi_input_combinational_cell,6495.55
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,354
design__instance__area__class:timing_repair_buffer,6083.68
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,60184.7
design__violations,0
design__instance__count__class:clock_buffer,52
design__instance__area__class:clock_buffer,1177.55
design__instance__count__class:clock_inverter,12
design__instance__area__class:clock_inverter,65.3184
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,290
global_route__vias,10342
global_route__wirelength,90090
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,2
design__instance__count__class:antenna_cell,2
design__instance__area__class:antenna_cell,10.8864
route__net,1229
route__net__special,2
route__drc_errors__iter:0,736
route__wirelength__iter:0,68126
route__drc_errors__iter:1,360
route__wirelength__iter:1,67907
route__drc_errors__iter:2,374
route__wirelength__iter:2,67714
route__drc_errors__iter:3,58
route__wirelength__iter:3,67731
route__drc_errors__iter:4,21
route__wirelength__iter:4,67724
route__drc_errors__iter:5,3
route__wirelength__iter:5,67715
route__drc_errors__iter:6,0
route__wirelength__iter:6,67714
route__drc_errors,0
route__wirelength,67714
route__vias,9366
route__vias__singlecut,9366
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,547.585
design__instance__count__class:fill_cell,665
design__instance__area__class:fill_cell,6241.54
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,28
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,28
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,28
