Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,18
design__inferred_latch__count,0
design__instance__count,21952
design__instance__area,259837
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.005128155928105116
power__switching__total,0.0010816144058480859
power__leakage__total,0.000004520838047028519
power__total,0.0062142908573150635
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.47730643011218027
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.28514902357547556
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11725781788544919
timing__setup__ws__corner:nom_fast_1p32V_m40C,5.782340991911026
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.117258
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,8.496402
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,0
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.7475220654056827
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.30094558252793124
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6205559575179809
timing__setup__ws__corner:nom_slow_1p08V_125C,-1.9033077874708886
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,-191.4258032935655
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,-1.9033077874708886
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.620556
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,120
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,-1.903308
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,120
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,0
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.5778050423888714
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.28920419655433394
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3029888092846622
timing__setup__ws__corner:nom_typ_1p20V_25C,5.794348720395764
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.302989
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,6.009632
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.47730643011218027
clock__skew__worst_setup,0.28514902357547556
timing__hold__ws,0.11725781788544919
timing__setup__ws,-1.9033077874708886
timing__hold__tns,0.0
timing__setup__tns,-191.4258032935655
timing__hold__wns,0
timing__setup__wns,-1.9033077874708886
timing__hold_vio__count,0
timing__hold_r2r__ws,0.117258
timing__hold_r2r_vio__count,0
timing__setup_vio__count,120
timing__setup_r2r__ws,-1.903308
timing__setup_r2r_vio__count,120
design__die__bbox,0.0 0.0 854.4 313.74
design__core__bbox,2.88 3.78 851.52 309.96
design__io,45
design__die__area,268059
design__core__area,259837
design__instance__count__stdcell,14475
design__instance__area__stdcell,225376
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.867375
design__instance__utilization__stdcell,0.867375
design__rows,81
design__rows:CoreSite,81
design__sites,143208
design__sites:CoreSite,143208
design__instance__count__class:buffer,27
design__instance__area__class:buffer,195.955
design__instance__count__class:inverter,514
design__instance__area__class:inverter,3220.56
design__instance__count__class:sequential_cell,1473
design__instance__area__class:sequential_cell,73058.6
design__instance__count__class:multi_input_combinational_cell,9336
design__instance__area__class:multi_input_combinational_cell,92510.8
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,2885
design__instance__area__class:timing_repair_buffer,50768.7
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,431527
design__violations,0
design__instance__count__class:clock_buffer,237
design__instance__area__class:clock_buffer,5590.17
design__instance__count__class:clock_inverter,3
design__instance__area__class:clock_inverter,30.8448
design__instance__count__setup_buffer,13
design__instance__count__hold_buffer,1889
global_route__vias,100980
global_route__wirelength,674352
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
antenna_diodes_count,0
route__net,14485
route__net__special,2
route__drc_errors__iter:0,4811
route__wirelength__iter:0,472384
route__drc_errors__iter:1,2072
route__wirelength__iter:1,469177
route__drc_errors__iter:2,1856
route__wirelength__iter:2,468624
route__drc_errors__iter:3,93
route__wirelength__iter:3,468272
route__drc_errors__iter:4,0
route__wirelength__iter:4,468257
route__drc_errors,0
route__wirelength,468257
route__vias,91856
route__vias__singlecut,91856
route__vias__multicut,0
design__disconnected_pin__count,5
design__critical_disconnected_pin__count,0
route__wirelength__max,780.12
design__instance__count__class:fill_cell,7477
design__instance__area__class:fill_cell,34460.9
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,14
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,14
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,14
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,14
timing__unannotated_net_filtered__count,0
