Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,12
design__inferred_latch__count,0
design__instance__count,10738
design__instance__area,126685
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,1
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.002192729152739048
power__switching__total,0.00036648919922299683
power__leakage__total,0.000003377725533937337
power__total,0.002562595997005701
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.2639314397294875
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,0.2639314397294875
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.11654572081731512
timing__setup__ws__corner:nom_fast_1p32V_m40C,11.025708658152219
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.116546
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,15.229792
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,1
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.2758442163873586
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,0.27732186776377427
timing__hold__ws__corner:nom_slow_1p08V_125C,0.6206346168215002
timing__setup__ws__corner:nom_slow_1p08V_125C,6.6016847190785946
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.620635
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,8.796315
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,1
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.26597633182080244
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,0.2666106855194384
timing__hold__ws__corner:nom_typ_1p20V_25C,0.3038155923944836
timing__setup__ws__corner:nom_typ_1p20V_25C,9.958307349487892
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.303816
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,12.837412
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,1
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2639314397294875
clock__skew__worst_setup,0.2639314397294875
timing__hold__ws,0.11654572081731512
timing__setup__ws,6.6016847190785946
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.116546
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,8.796315
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 419.52 313.74
design__core__bbox,2.88 3.78 416.64 309.96
design__io,45
design__die__area,131620
design__core__area,126685
design__instance__count__stdcell,5481
design__instance__area__stdcell,86973.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.686531
design__instance__utilization__stdcell,0.686531
design__rows,81
design__rows:CoreSite,81
design__sites,69822
design__sites:CoreSite,69822
design__instance__count__class:buffer,3
design__instance__area__class:buffer,21.7728
design__instance__count__class:inverter,83
design__instance__area__class:inverter,506.218
design__instance__count__class:sequential_cell,625
design__instance__area__class:sequential_cell,30779.5
design__instance__count__class:multi_input_combinational_cell,3388
design__instance__area__class:multi_input_combinational_cell,30286
flow__warnings__count,1
flow__errors__count,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1230
design__instance__area__class:timing_repair_buffer,22210.1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,129092
design__violations,0
design__instance__count__class:clock_buffer,127
design__instance__area__class:clock_buffer,2962.92
design__instance__count__class:clock_inverter,25
design__instance__area__class:clock_inverter,206.842
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,848
global_route__vias,35716
global_route__wirelength,221092
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,5456
route__net__special,2
route__drc_errors__iter:0,1578
route__wirelength__iter:0,149005
route__drc_errors__iter:1,506
route__wirelength__iter:1,148057
route__drc_errors__iter:2,397
route__wirelength__iter:2,147856
route__drc_errors__iter:3,19
route__wirelength__iter:3,147768
route__drc_errors__iter:4,0
route__wirelength__iter:4,147767
route__drc_errors,0
route__wirelength,147767
route__vias,32667
route__vias__singlecut,32667
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,778.12
design__instance__count__class:fill_cell,5257
design__instance__area__class:fill_cell,39711.8
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,57
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,57
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,57
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,57
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19978
